sku_id,snapshot_date,week_of_year,month,quarter,category,brand_tier,product_age_days,units_in_stock,units_sold_last_week,units_sold_last_4wks,units_sold_last_12wks,demand_trend,demand_volatility_cv,seasonal_index,reorder_point,safety_stock,economic_order_qty,days_of_stock_remaining,last_replenishment_days_ago,pending_order_units,supplier_id,supplier_lead_time_days,supplier_reliability_score,purchase_price,selling_price,gross_margin_pct,discount_pct,promotion_active,competitor_price_ratio,return_rate_pct,customer_rating,num_reviews,search_rank,click_through_rate_pct,conversion_rate_pct,warehouse_zone,storage_cost_per_unit_day,fulfillment_time_days,overstock_units,stockout_risk
SKU-0013,2023-01-02,1,1,1,electronics,mid,552,335,22.0,24.9,37.5,decreasing,0.468,1.112,200,118,604,103.3,31,0,SUP-06,23,73.6,2613.52,4050.96,35.5,0.0,0,0.943,8.1,4.0,353.0,158,7.19,2.01,A,0.55,3.5,0,1
SKU-0014,2023-01-02,1,1,1,beauty,budget,849,117,107.2,22.8,35.0,increasing,0.356,1.392,72,39,326,7.6,36,303,SUP-02,10,70.4,690.78,898.01,23.1,0.0,0,1.003,9.8,3.5,866.0,29,2.57,3.52,A,0.455,1.6,0,1
SKU-0015,2023-01-02,1,1,1,electronics,budget,201,580,7.5,40.6,37.2,decreasing,0.771,1.171,264,142,1829,365.0,33,0,SUP-14,21,,6937.39,9018.61,23.1,0.0,0,1.248,2.3,3.8,845.0,171,5.46,5.18,C,0.253,2.9,52,1
SKU-0016,2023-01-02,1,1,1,home,premium,300,504,23.0,39.7,33.4,decreasing,0.908,1.274,290,171,1118,148.9,41,869,SUP-06,21,99.0,685.15,1336.04,48.7,0.0,0,,2.1,3.9,153.0,190,3.52,0.2,B,0.058,2.6,0,1
SKU-0017,2023-01-02,1,1,1,electronics,mid,397,161,14.4,39.9,32.7,decreasing,0.911,1.148,103,46,1295,74.7,36,0,SUP-01,10,77.0,7486.68,11604.35,35.5,0.0,0,0.877,6.8,3.7,1058.0,6,1.11,4.47,A,0.547,1.0,0,0
SKU-0018,2023-01-02,1,1,1,books,budget,725,416,29.4,38.0,29.2,stable,0.992,1.273,239,109,832,96.8,21,591,SUP-04,24,96.8,553.23,719.2,23.1,0.0,0,1.175,1.9,4.3,325.0,124,4.08,3.21,C,0.085,1.6,0,1
SKU-0019,2023-01-02,1,1,1,food,premium,153,25,92.4,18.6,30.4,increasing,1.017,1.267,20,12,346,1.9,57,0,SUP-05,3,69.9,682.19,1330.27,48.7,26.0,1,0.893,14.9,3.5,45.0,80,1.49,2.76,C,0.322,2.3,0,1
SKU-0020,2023-01-02,1,1,1,clothing,mid,49,130,25.8,39.8,34.9,decreasing,0.891,1.133,68,34,631,34.4,49,0,SUP-01,6,68.6,896.49,1389.56,35.5,0.0,0,0.931,14.7,3.6,608.0,52,4.04,4.98,B,0.27,2.8,0,1
SKU-0021,2023-01-02,1,1,1,books,budget,746,158,49.1,40.5,35.1,increasing,0.875,1.207,60,31,369,22.2,24,0,SUP-03,5,71.6,676.55,879.52,23.1,0.0,0,1.247,6.8,4.3,1131.0,108,3.53,4.9,C,0.62,1.9,38,0
SKU-0022,2023-01-02,1,1,1,sports,budget,574,251,30.7,49.2,36.7,decreasing,0.793,1.144,104,55,1084,56.0,8,0,SUP-08,7,74.9,726.63,944.62,23.1,0.0,0,0.804,11.0,4.0,465.0,8,1.54,5.01,B,0.085,2.4,43,1
SKU-0023,2023-01-02,1,1,1,clothing,budget,697,262,44.7,49.5,36.2,increasing,0.731,1.212,211,98,688,40.4,8,451,SUP-04,16,76.1,1343.58,1746.65,23.1,0.0,0,0.822,3.0,4.5,274.0,33,4.3,6.85,C,0.429,2.7,0,0
SKU-0024,2023-01-02,1,1,1,beauty,budget,1134,174,70.3,37.6,39.0,increasing,0.591,1.108,208,101,398,17.1,40,0,SUP-12,20,65.0,487.67,633.97,23.1,0.0,0,1.183,8.5,4.3,19.0,147,3.68,2.93,A,0.352,2.6,0,1
SKU-0025,2023-01-02,1,1,1,electronics,budget,532,482,32.8,48.7,43.0,decreasing,0.541,1.216,263,117,706,100.6,48,435,SUP-15,21,93.4,2454.75,3191.18,23.1,0.0,0,0.937,17.7,5.0,1163.0,71,3.34,4.8,C,0.741,2.6,0,1
SKU-0026,2023-01-02,1,1,1,books,budget,781,754,48.8,44.6,43.9,increasing,0.467,1.116,264,149,174,106.6,30,0,SUP-09,18,86.8,166.08,215.9,23.1,0.0,0,1.089,3.2,4.3,,136,3.48,0.98,C,0.762,1.4,226,0
SKU-0027,2023-01-02,1,1,1,home,budget,228,542,54.7,49.2,39.1,increasing,0.423,1.126,237,118,549,68.5,17,422,SUP-15,17,88.6,421.51,547.96,23.1,0.0,0,1.088,14.2,3.5,817.0,21,1.93,6.03,C,0.205,3.3,68,0
SKU-0028,2023-01-02,1,1,1,sports,mid,505,180,33.1,51.7,43.0,decreasing,0.306,1.183,131,72,439,37.2,25,0,SUP-06,8,74.3,399.71,619.55,35.5,0.0,0,1.217,5.0,,449.0,197,3.59,5.72,C,0.326,1.9,0,0
SKU-0029,2023-01-02,1,1,1,clothing,mid,786,140,31.7,42.4,43.9,decreasing,0.276,1.203,91,43,562,30.3,57,0,SUP-09,8,79.2,926.24,1435.67,35.5,0.0,0,0.858,3.0,4.1,189.0,48,6.24,3.28,A,0.379,2.8,0,0
SKU-0030,2023-01-02,1,1,1,books,mid,1041,669,51.7,42.1,45.3,increasing,0.305,1.242,264,132,234,89.3,39,0,SUP-11,22,65.4,146.05,226.38,35.5,5.4,1,0.967,5.0,4.3,823.0,143,2.1,5.4,C,0.342,2.9,141,1
SKU-0031,2023-01-02,1,1,1,sports,mid,1171,214,42.4,42.8,47.2,stable,0.272,1.467,218,126,439,34.7,53,0,SUP-12,15,94.4,1116.32,1730.3,35.5,0.0,0,0.851,8.7,4.1,467.0,73,4.8,6.58,A,0.767,3.1,0,0
SKU-0032,2023-01-02,1,1,1,electronics,mid,70,677,11.6,39.7,43.0,decreasing,0.275,1.406,248,140,1020,365.0,18,0,SUP-06,19,71.0,6648.89,10305.78,35.5,26.0,1,1.105,1.8,4.0,1003.0,195,4.71,5.3,B,0.784,1.1,181,0
SKU-0033,2023-01-02,1,1,1,toys,budget,139,199,35.6,34.4,41.8,decreasing,0.344,1.422,128,64,262,38.3,7,164,SUP-12,13,95.3,438.9,570.57,23.1,0.0,0,1.204,16.7,3.8,1052.0,174,3.33,3.47,B,0.68,2.0,0,1
SKU-0034,2023-01-02,1,1,1,clothing,premium,591,227,19.8,35.3,40.7,decreasing,0.338,1.431,218,97,297,77.6,1,0,SUP-15,24,77.9,434.53,847.33,48.7,26.3,1,,5.3,4.1,947.0,46,5.07,4.1,C,0.536,1.3,0,1
SKU-0035,2023-01-02,1,1,1,home,budget,600,92,17.1,27.4,39.8,decreasing,0.393,1.418,131,72,235,36.2,36,0,SUP-04,15,61.3,464.43,603.76,23.1,0.0,0,0.862,7.1,3.1,459.0,81,3.45,5.35,B,0.711,1.4,0,1
SKU-0036,2023-01-02,1,1,1,clothing,budget,543,263,29.3,21.0,37.5,decreasing,0.417,1.413,149,86,345,61.4,16,198,SUP-11,21,83.8,1153.68,1499.78,23.1,23.5,1,1.03,13.9,3.5,573.0,37,2.72,3.7,B,0.628,2.0,0,1
SKU-0037,2023-01-02,1,1,1,beauty,premium,296,292,41.9,25.4,34.1,increasing,0.422,1.141,162,82,742,48.0,35,0,SUP-04,22,69.0,718.72,1401.5,48.7,0.0,0,0.949,1.4,4.3,720.0,115,1.54,0.68,B,0.094,0.5,0,1
SKU-0038,2023-01-02,1,1,1,food,mid,302,246,27.0,27.0,34.8,decreasing,0.425,1.161,94,55,790,62.2,22,0,SUP-05,10,97.8,754.45,1169.4,35.5,0.0,0,1.149,10.6,4.4,433.0,194,3.71,0.65,A,0.092,3.2,58,0
SKU-0039,2023-01-02,1,1,1,home,budget,50,234,37.3,28.8,33.0,increasing,0.382,1.219,177,95,268,43.1,23,0,SUP-05,20,90.3,301.68,392.18,23.1,0.0,0,0.979,3.5,4.4,69.0,150,3.63,5.25,B,0.371,3.8,0,1
SKU-0040,2023-01-02,1,1,1,toys,budget,810,170,36.0,33.9,31.5,increasing,0.363,1.132,72,43,294,32.4,31,213,SUP-10,6,82.4,586.26,762.14,23.1,6.9,1,0.869,10.4,3.9,459.0,128,0.1,1.03,B,0.713,3.2,26,0
SKU-0041,2023-01-02,1,1,1,beauty,premium,738,123,29.6,35.6,31.8,stable,0.27,1.289,139,83,262,28.4,37,0,SUP-02,11,76.1,317.68,619.48,48.7,0.0,0,0.873,7.2,3.5,663.0,103,2.08,6.4,C,0.509,3.1,0,1
SKU-0042,2023-01-02,1,1,1,home,budget,244,73,53.7,32.5,31.6,increasing,0.269,1.334,78,36,258,9.4,42,245,SUP-02,9,67.7,442.11,574.74,23.1,0.0,0,0.816,4.7,4.6,479.0,54,7.2,4.27,B,0.669,1.3,0,0
SKU-0043,2023-01-02,1,1,1,sports,mid,992,84,34.2,39.2,31.8,stable,0.302,1.282,64,36,394,16.9,14,260,SUP-08,5,60.6,469.58,727.85,35.5,0.0,0,1.079,4.5,4.0,756.0,7,3.19,2.52,A,0.362,1.3,0,0
SKU-0044,2023-01-02,1,1,1,electronics,mid,1046,282,20.3,38.4,31.1,decreasing,0.223,1.156,143,66,1231,94.0,29,0,SUP-13,14,97.0,2629.39,4075.55,35.5,0.0,0,0.841,9.9,4.1,1110.0,100,0.28,4.42,A,0.198,2.1,0,0
SKU-0045,2023-01-02,1,1,1,clothing,budget,794,624,50.8,34.4,31.8,increasing,0.27,1.321,232,134,314,84.8,14,0,SUP-07,20,86.1,458.64,596.23,23.1,30.0,1,0.955,7.8,4.4,553.0,27,2.58,3.75,C,0.494,4.4,160,1
SKU-0046,2023-01-02,1,1,1,home,premium,722,94,32.1,39.7,33.1,stable,0.295,1.22,127,59,411,20.0,47,0,SUP-08,12,91.0,683.99,1333.78,48.7,0.0,0,,1.2,4.7,992.0,136,2.52,1.04,A,0.495,0.6,0,1
SKU-0047,2023-01-02,1,1,1,clothing,premium,230,253,10.3,34.4,34.1,decreasing,0.278,1.163,99,55,837,161.4,43,544,SUP-07,9,72.6,970.78,1893.02,48.7,0.0,0,0.826,14.2,4.1,562.0,149,2.17,5.26,A,0.139,2.1,55,0
SKU-0048,2023-01-02,1,1,1,beauty,premium,224,47,61.5,28.4,33.5,increasing,0.403,1.457,54,30,328,5.3,15,0,SUP-01,6,64.9,140.9,274.76,48.7,0.0,0,0.898,8.9,4.7,577.0,160,4.63,7.24,A,0.107,2.6,0,0
SKU-0049,2023-01-02,1,1,1,home,mid,344,356,13.1,38.7,36.2,decreasing,0.448,1.389,163,80,223,181.2,35,125,SUP-04,15,71.7,302.89,469.48,35.5,0.0,0,1.2,13.2,4.8,695.0,81,2.6,2.98,A,0.731,4.3,30,0
SKU-0050,2023-01-02,1,1,1,food,mid,709,321,66.4,29.3,33.8,increasing,0.524,1.197,124,70,502,33.5,12,0,SUP-03,13,80.9,305.69,473.82,35.5,0.0,0,0.891,11.4,3.8,640.0,5,4.85,1.03,C,0.101,3.3,73,0
SKU-0051,2023-01-02,1,1,1,beauty,budget,225,179,77.2,37.8,37.1,increasing,0.559,1.317,64,37,324,16.1,22,0,SUP-11,5,91.5,552.66,718.46,23.1,0.0,0,0.941,8.2,4.3,528.0,83,4.31,3.38,A,0.616,3.1,51,0
SKU-0052,2023-01-02,1,1,1,food,mid,915,819,58.7,54.6,40.4,increasing,0.585,1.355,299,166,354,96.4,26,0,SUP-08,17,64.8,582.08,902.22,35.5,6.8,1,1.12,10.3,4.6,386.0,5,5.05,4.43,B,0.783,3.0,221,1
SKU-0053,2023-01-02,1,1,1,food,budget,791,278,114.6,53.9,42.3,increasing,0.505,1.223,208,100,491,16.9,21,0,SUP-15,14,77.1,643.31,836.3,23.1,0.0,0,1.214,4.9,4.5,773.0,23,1.29,2.5,C,0.441,2.8,0,1
SKU-0054,2023-01-02,1,1,1,beauty,budget,1162,246,54.6,79.2,49.4,increasing,0.601,1.261,107,50,1108,31.1,51,968,SUP-13,5,76.6,699.28,909.06,23.1,0.0,0,1.038,11.9,5.0,297.0,172,4.47,3.04,B,0.131,1.3,32,0
SKU-0055,2023-01-02,1,1,1,books,mid,520,139,42.3,76.3,49.5,decreasing,0.553,1.444,182,95,450,22.6,50,0,SUP-01,8,91.7,135.41,209.89,35.5,0.0,0,1.087,2.7,3.6,166.0,26,2.22,3.22,A,0.15,1.7,0,1
SKU-0056,2023-01-02,1,1,1,food,mid,1173,963,110.6,67.5,50.2,increasing,0.443,1.453,445,262,262,60.6,46,0,SUP-14,19,79.9,216.32,335.3,35.5,0.0,0,0.909,3.8,4.0,131.0,24,4.43,6.01,C,0.66,2.3,73,1
SKU-0057,2023-01-02,1,1,1,sports,mid,196,1087,31.3,80.5,57.7,decreasing,0.471,1.125,594,352,1525,237.5,57,0,SUP-01,21,66.2,1451.14,2249.27,35.5,0.0,0,0.837,13.2,3.9,784.0,125,4.52,5.31,C,0.147,1.7,0,1
SKU-0058,2023-01-02,1,1,1,toys,budget,1101,1009,23.9,59.7,56.1,decreasing,0.405,1.242,361,216,299,287.7,40,0,SUP-14,17,67.7,190.69,247.9,23.1,0.0,0,1.195,3.6,4.6,465.0,33,4.69,1.94,C,0.389,2.2,287,0
SKU-0059,2023-01-02,1,1,1,sports,budget,969,1053,15.1,52.0,55.4,decreasing,0.498,1.164,354,205,889,365.0,32,0,SUP-14,20,97.3,1432.74,1862.56,23.1,0.0,0,1.162,6.1,3.3,548.0,32,2.01,3.91,B,0.285,1.4,345,0
SKU-0060,2023-01-02,1,1,1,electronics,mid,315,67,40.1,45.2,55.8,decreasing,0.625,1.106,58,32,1060,11.5,22,0,SUP-12,4,67.2,3185.9,4938.15,35.5,0.0,0,1.205,11.0,3.7,450.0,37,2.1,4.79,B,0.391,3.3,0,0
SKU-0061,2023-01-02,1,1,1,beauty,premium,974,463,44.4,27.6,54.0,decreasing,0.659,1.244,176,101,392,71.8,43,0,SUP-08,19,63.3,671.49,1309.41,48.7,20.2,1,1.172,2.9,4.1,1141.0,63,3.73,4.07,C,0.368,,111,0
SKU-0062,2023-01-02,1,1,1,electronics,mid,581,73,37.3,30.8,56.6,decreasing,0.603,1.255,27,14,2008,13.4,10,1801,SUP-10,3,,6069.51,9407.74,35.5,25.4,1,1.009,9.8,3.8,428.0,50,5.06,1.01,A,0.135,2.0,19,0
SKU-0063,2023-01-02,1,1,1,clothing,premium,31,210,22.1,34.2,54.2,decreasing,0.63,1.333,141,73,381,64.4,32,0,SUP-10,14,64.6,682.21,1330.31,48.7,0.0,0,0.882,13.6,3.8,494.0,31,0.1,0.2,B,0.494,2.8,0,1
SKU-0064,2023-01-02,1,1,1,toys,budget,415,636,33.2,36.0,49.6,decreasing,0.691,1.343,272,149,381,131.4,48,251,SUP-03,24,71.4,155.64,202.33,23.1,0.0,0,1.089,9.6,3.7,534.0,9,2.49,2.76,C,0.111,,92,1
SKU-0065,2023-01-02,1,1,1,electronics,budget,684,477,14.9,34.3,47.4,decreasing,0.301,1.423,159,86,1183,213.7,35,0,SUP-11,15,87.3,4691.41,6098.83,23.1,19.2,1,1.147,7.3,4.0,2.0,28,4.37,6.78,B,0.349,0.5,159,0
SKU-0066,2023-01-02,1,1,1,sports,mid,207,259,13.7,26.9,39.1,decreasing,0.37,1.368,94,56,524,126.0,15,0,SUP-03,10,76.3,1461.53,2265.37,35.5,0.0,0,1.226,1.7,3.9,32.0,74,5.31,4.36,A,0.438,2.6,71,0
SKU-0067,2023-01-02,1,1,1,books,budget,365,101,44.4,21.0,35.7,increasing,0.426,1.427,155,86,342,15.7,2,0,SUP-05,23,98.4,619.22,804.99,23.1,12.7,1,0.905,15.0,3.7,710.0,187,4.93,4.32,B,0.338,2.5,0,1
SKU-0068,2023-01-02,1,1,1,toys,mid,353,356,22.3,26.6,35.9,decreasing,0.379,1.405,122,57,137,108.5,19,90,SUP-12,17,67.6,177.23,274.71,35.5,0.0,0,0.816,8.3,4.7,5.0,187,5.73,3.18,B,0.787,2.4,112,0
SKU-0069,2023-01-02,1,1,1,beauty,mid,579,240,36.0,23.8,28.6,increasing,0.401,1.488,97,53,388,45.7,24,235,SUP-08,13,66.3,642.61,996.05,35.5,0.0,0,0.857,1.1,4.2,496.0,115,5.92,0.2,A,0.309,2.6,46,0
SKU-0070,2023-01-02,1,1,1,home,premium,1085,104,38.1,29.1,28.9,increasing,0.377,1.457,50,29,891,18.7,54,0,SUP-04,5,96.6,785.41,1531.55,48.7,0.0,0,1.133,2.0,,706.0,129,4.27,2.29,A,0.08,2.4,4,0
SKU-0071,2023-01-02,1,1,1,food,mid,400,94,41.6,35.2,30.1,increasing,0.379,1.306,83,48,234,15.5,15,170,SUP-13,7,63.8,384.65,596.21,35.5,0.0,0,1.25,5.7,4.1,692.0,3,4.08,3.42,C,0.772,2.3,0,0
SKU-0072,2023-01-02,1,1,1,sports,budget,200,329,30.5,34.5,32.4,stable,0.367,1.334,145,81,290,73.8,28,0,SUP-08,13,74.2,428.77,557.4,23.1,0.0,0,1.115,9.8,4.5,761.0,19,4.35,4.66,A,0.543,3.4,39,0
SKU-0073,2023-01-02,1,1,1,food,mid,109,333,50.1,36.6,31.6,increasing,0.37,1.152,194,89,321,45.9,22,0,SUP-12,20,,700.0,1085.0,35.5,24.3,1,1.245,15.8,4.2,79.0,70,4.01,7.13,B,0.772,3.7,0,1
SKU-0074,2023-01-02,1,1,1,clothing,mid,319,228,13.8,40.1,32.0,decreasing,0.324,1.115,170,101,496,110.3,35,0,SUP-07,12,82.4,539.47,836.18,35.5,10.8,1,1.168,15.7,3.7,511.0,54,2.82,5.29,A,0.265,,0,1
SKU-0075,2023-01-02,1,1,1,electronics,budget,161,244,9.5,34.0,30.1,decreasing,0.324,1.281,216,109,2230,167.4,42,0,SUP-06,22,68.5,5712.23,7425.9,23.1,0.0,0,1.086,9.2,3.8,,54,4.35,8.05,A,0.112,1.8,0,1
SKU-0076,2023-01-02,1,1,1,electronics,budget,178,320,12.5,26.0,29.0,decreasing,0.435,1.305,115,52,813,169.2,18,0,SUP-02,17,65.0,2593.96,3372.15,23.1,0.0,0,0.801,10.4,3.5,1187.0,27,3.44,4.37,A,0.309,2.5,90,0
SKU-0077,2023-01-02,1,1,1,books,premium,255,172,42.1,21.5,27.3,increasing,0.491,1.184,70,39,603,28.1,1,0,SUP-05,10,98.5,663.98,1294.76,48.7,0.0,0,1.168,13.9,,1162.0,13,5.03,3.34,A,0.113,0.8,32,0
SKU-0078,2023-01-02,1,1,1,electronics,mid,887,204,28.4,19.5,29.6,stable,0.495,1.282,87,45,618,49.1,37,0,SUP-10,15,94.3,3985.4,6177.37,35.5,0.0,0,1.103,9.5,3.9,73.0,174,3.55,7.69,A,0.626,3.4,30,0
SKU-0079,2023-01-02,1,1,1,food,budget,554,143,83.9,23.1,30.8,increasing,0.504,1.401,79,39,117,11.8,31,91,SUP-06,12,79.7,135.31,175.9,23.1,0.0,0,0.899,10.8,4.5,5.0,19,2.04,1.1,A,0.719,3.9,0,0
SKU-0080,2023-01-02,1,1,1,clothing,mid,847,255,38.3,41.7,34.1,increasing,0.687,1.288,262,125,518,45.7,2,0,SUP-03,23,76.2,1260.81,1954.26,35.5,8.6,1,1.093,5.8,4.8,466.0,135,0.1,4.38,C,0.604,,0,1
SKU-0081,2023-01-02,1,1,1,home,mid,491,310,9.4,48.2,35.4,decreasing,0.668,1.432,128,73,352,215.7,12,0,SUP-14,8,84.9,652.45,1011.3,35.5,0.0,0,0.989,9.6,4.4,902.0,111,4.19,7.71,B,0.785,1.3,54,1
SKU-0082,2023-01-02,1,1,1,toys,budget,839,251,31.4,40.0,33.2,stable,0.801,1.414,175,84,771,54.8,54,652,SUP-07,16,84.1,327.53,425.79,23.1,0.0,0,1.034,4.0,,1094.0,70,3.86,4.1,C,0.059,1.8,0,1
SKU-0083,2023-01-02,1,1,1,clothing,budget,555,455,48.3,40.7,32.6,increasing,0.721,1.404,220,115,409,65.0,32,0,SUP-03,18,81.6,839.74,1091.66,23.1,0.0,0,0.997,17.7,3.7,532.0,143,1.7,5.26,C,0.63,1.6,15,0
SKU-0084,2023-01-02,1,1,1,beauty,premium,921,145,54.0,31.8,33.2,increasing,0.594,1.408,169,78,717,18.5,14,654,SUP-03,20,89.8,614.86,1198.98,48.7,6.3,1,1.063,8.2,3.9,1175.0,53,3.76,5.13,B,0.109,3.8,0,1
SKU-0085,2023-01-02,1,1,1,electronics,mid,1171,108,36.2,35.8,35.1,stable,0.485,1.295,80,44,1527,20.5,4,0,SUP-06,7,85.6,5052.14,7830.82,35.5,34.3,1,1.122,13.7,3.6,,171,6.3,3.37,B,0.232,0.5,0,0
SKU-0086,2023-01-02,1,1,1,clothing,budget,190,225,9.8,42.5,34.0,decreasing,0.496,1.29,95,53,672,150.6,36,0,SUP-09,7,90.3,1404.56,1825.93,23.1,9.6,1,0.98,13.4,3.7,847.0,100,3.7,4.74,A,0.404,2.2,35,0
SKU-0087,2023-01-02,1,1,1,beauty,budget,276,146,58.0,37.1,33.6,increasing,0.584,1.201,50,24,882,17.4,40,0,SUP-06,5,93.2,785.89,1021.66,23.1,0.0,0,1.116,9.8,3.9,813.0,3,4.55,1.87,A,0.107,2.7,46,0
SKU-0088,2023-01-02,1,1,1,clothing,budget,1005,254,38.9,39.5,37.7,stable,0.484,1.149,158,90,390,44.9,51,370,SUP-02,12,81.4,587.56,763.83,23.1,0.0,0,1.151,10.4,5.0,468.0,13,3.8,3.36,A,0.469,3.9,0,0
SKU-0089,2023-01-02,1,1,1,home,mid,889,620,56.4,35.7,39.9,increasing,0.483,1.394,249,142,360,76.0,59,0,SUP-10,21,61.2,327.67,507.89,35.5,0.0,0,,11.2,4.1,460.0,96,3.19,5.22,A,0.273,3.4,122,1
SKU-0090,2023-01-02,1,1,1,home,mid,372,230,17.0,40.7,41.1,decreasing,0.364,1.348,213,114,388,91.0,13,0,SUP-07,17,74.6,777.8,1205.59,35.5,0.0,0,1.202,8.7,3.7,958.0,182,2.64,3.51,B,0.651,3.5,0,1
SKU-0091,2023-01-02,1,1,1,electronics,mid,828,264,7.3,42.5,40.1,decreasing,0.427,1.184,279,157,2107,231.0,11,1984,SUP-08,20,90.0,6512.4,10094.22,35.5,19.2,1,1.096,9.6,3.7,538.0,34,4.66,5.4,C,0.185,2.2,0,1
SKU-0092,2023-01-02,1,1,1,sports,premium,752,551,20.8,29.9,33.7,decreasing,0.567,1.255,217,127,429,179.8,32,340,SUP-05,21,95.8,941.81,1836.53,48.7,0.0,0,0.967,10.9,4.0,479.0,97,3.57,4.92,C,0.47,3.1,117,1
SKU-0093,2023-01-02,1,1,1,sports,budget,361,247,54.9,25.4,32.3,increasing,0.61,1.126,168,81,365,31.1,43,0,SUP-14,24,89.6,904.79,1176.23,23.1,0.0,0,0.911,11.9,4.0,33.0,65,3.58,3.84,C,0.529,1.2,0,1
SKU-0094,2023-01-02,1,1,1,food,premium,259,161,96.6,25.0,36.1,increasing,0.617,1.181,62,37,136,11.6,45,121,SUP-12,7,61.1,101.21,197.36,48.7,0.0,0,0.901,14.3,,1010.0,163,4.54,1.24,A,0.422,4.4,37,0
SKU-0095,2023-01-02,1,1,1,electronics,budget,92,407,13.2,44.9,41.5,decreasing,0.62,1.14,203,94,1687,204.8,7,1094,SUP-12,17,71.3,6840.27,8892.35,23.1,0.0,0,1.21,1.7,4.2,180.0,51,1.65,0.5,C,0.327,3.2,1,1
SKU-0096,2023-01-02,1,1,1,home,premium,1086,663,10.2,46.4,38.6,decreasing,0.739,1.138,261,142,388,365.0,59,0,SUP-02,18,98.3,274.53,535.33,48.7,0.0,0,1.219,15.5,3.6,1005.0,113,5.1,4.78,B,0.255,1.6,141,0
