age,gender,city_tier,education,occupation,income_band,plan_type,monthly_charge,tenure_months,contract_type,auto_renew,payment_method,logins_per_month,avg_session_minutes,features_used_count,mobile_app_usage_pct,support_tickets_raised,support_tickets_resolved,nps_score,last_login_days_ago,referrals_made,late_payments_count,payment_failures,total_spend_12m,discount_used_count,upgrade_downgrade_count,product_rating,onboarding_completed,tutorial_completed,days_to_first_value,competitor_product_used,promo_sensitivity,churned
34,F,tier3,school,salaried,high,basic,242.28,53,monthly,0,debit_card,13,1.0,15,96.3,10,9,7.0,109,0,3,0,2772.18,4,2,,1,0,42.0,0,low,1
56,F,tier2,postgraduate,student,medium,basic,280.41,28,monthly,1,credit_card,14,11.0,15,15.8,9,8,10.0,91,3,2,3,3187.97,2,0,5.0,1,1,20.0,0,low,0
20,M,tier1,graduate,salaried,low,standard,445.29,3,annual,1,wallet,8,19.7,14,68.3,10,8,5.0,117,3,5,3,1137.68,0,1,2.8,1,1,44.0,0,low,1
71,F,tier1,school,homemaker,high,premium,532.48,12,monthly,0,wallet,14,13.3,11,37.9,0,0,4.0,112,2,2,1,5336.85,3,1,4.2,0,1,3.0,0,high,1
30,M,tier2,postgraduate,homemaker,medium,enterprise,991.0,67,annual,1,debit_card,20,39.1,11,91.7,6,5,2.0,119,4,2,1,9670.94,0,2,4.0,1,0,35.0,1,low,0
23,M,tier1,graduate,salaried,high,premium,489.49,64,annual,1,upi,6,15.2,4,35.2,6,5,4.0,152,6,1,1,5104.77,0,0,2.9,1,1,43.0,0,medium,1
64,M,tier1,school,student,high,premium,735.87,4,monthly,0,debit_card,10,13.4,1,68.9,0,0,7.0,177,6,2,0,2915.16,3,2,4.2,0,0,30.0,0,high,1
65,F,tier2,graduate,salaried,medium,basic,294.09,5,monthly,1,debit_card,6,18.3,14,47.7,6,5,7.0,162,0,0,2,1360.79,4,0,2.4,0,0,23.0,0,high,1
45,M,tier2,graduate,student,medium,enterprise,1097.5,54,annual,0,debit_card,14,10.8,7,19.5,8,6,3.0,89,0,1,1,12072.19,3,0,3.8,0,0,29.0,0,low,0
43,M,tier2,school,salaried,medium,standard,330.37,55,annual,0,credit_card,10,,17,54.8,11,7,7.0,43,6,2,1,3375.59,4,0,4.0,1,1,5.0,1,low,1
37,F,tier1,graduate,salaried,medium,enterprise,752.33,34,monthly,1,upi,14,11.6,10,52.7,4,3,3.0,140,5,2,0,8293.61,4,2,4.4,1,1,43.0,0,low,1
26,M,tier1,graduate,homemaker,high,standard,390.32,65,biannual,1,upi,7,13.3,15,33.7,5,4,4.0,137,4,5,1,3935.44,1,2,2.8,0,1,8.0,0,medium,1
66,F,tier3,graduate,homemaker,high,premium,723.34,45,monthly,0,upi,9,9.0,13,7.2,0,0,3.0,92,0,2,0,7742.73,1,0,3.9,1,0,39.0,0,medium,1
27,F,tier1,graduate,retired,high,premium,624.81,51,annual,0,upi,9,20.5,4,49.9,8,6,8.0,138,4,4,2,7312.9,1,1,4.0,1,0,13.0,1,high,1
47,F,tier2,graduate,self_employed,low,basic,200.32,5,biannual,0,wallet,11,26.5,17,26.3,4,3,10.0,175,1,0,0,968.37,2,1,3.3,1,1,,0,low,1
69,F,tier1,graduate,student,low,enterprise,868.22,4,monthly,1,upi,16,30.5,3,77.4,10,9,3.0,174,1,0,1,3409.67,0,0,4.6,1,1,21.0,0,low,1
27,F,tier1,graduate,self_employed,high,enterprise,814.86,5,monthly,1,upi,10,26.9,6,77.5,8,7,8.0,45,2,1,2,3872.98,0,1,4.2,0,1,,0,low,0
68,M,tier3,graduate,student,very_high,basic,258.2,48,monthly,1,upi,15,26.0,15,75.0,7,6,6.0,0,5,4,3,2682.9,1,0,2.9,1,0,29.0,1,medium,0
42,M,tier3,postgraduate,salaried,high,enterprise,1020.49,45,monthly,1,debit_card,17,14.2,2,46.2,3,2,0.0,141,0,4,0,10214.89,3,2,4.0,0,0,28.0,0,medium,1
27,M,tier3,postgraduate,salaried,low,standard,543.25,71,annual,1,upi,16,17.0,11,88.1,9,7,7.0,154,6,3,1,5475.5,4,2,4.2,0,1,3.0,0,medium,0
18,F,tier3,graduate,retired,medium,basic,311.61,11,annual,1,debit_card,7,17.3,11,49.3,5,4,8.0,73,0,2,3,3043.61,2,2,3.7,1,1,42.0,1,medium,1
37,M,tier2,postgraduate,homemaker,low,premium,690.18,53,monthly,0,upi,7,12.4,4,0.4,7,6,9.0,27,2,2,1,7920.06,2,2,3.3,1,1,4.0,1,high,1
61,F,tier3,graduate,homemaker,high,basic,295.67,41,monthly,0,upi,15,24.9,18,36.7,4,3,5.0,109,5,3,0,3351.85,1,0,,1,1,40.0,0,medium,1
52,M,tier2,school,student,low,basic,230.28,2,monthly,1,upi,12,14.0,4,24.0,2,1,7.0,52,0,1,3,374.16,2,0,3.4,1,1,33.0,0,medium,1
59,M,tier2,graduate,homemaker,medium,standard,309.63,55,annual,0,credit_card,13,17.0,14,4.8,5,4,3.0,0,3,4,3,3285.77,0,0,4.4,1,1,,0,low,1
51,F,tier1,postgraduate,salaried,high,enterprise,917.55,42,biannual,0,debit_card,7,14.8,4,2.3,11,7,6.0,19,6,1,2,10653.65,0,0,3.4,1,1,5.0,0,low,0
45,F,tier3,school,salaried,very_high,enterprise,1275.17,64,annual,1,credit_card,12,1.0,8,53.4,10,8,10.0,56,5,0,2,13572.28,0,2,5.0,0,1,6.0,0,medium,1
21,M,tier2,postgraduate,salaried,medium,premium,724.77,61,annual,1,credit_card,14,12.7,1,92.0,5,4,8.0,107,6,1,3,8385.38,2,0,,1,0,41.0,0,high,1
54,F,tier1,graduate,student,,basic,313.51,31,biannual,1,upi,10,13.0,2,9.8,11,8,,76,3,4,2,3697.42,2,0,4.7,0,0,26.0,0,medium,1
36,F,tier2,graduate,salaried,low,basic,320.24,15,monthly,1,debit_card,9,6.9,6,5.8,11,10,8.0,171,3,5,0,3456.31,3,1,5.0,1,0,8.0,0,medium,1
68,F,tier1,graduate,salaried,low,basic,301.01,9,annual,1,net_banking,9,12.2,19,17.8,5,4,0.0,38,1,5,0,2609.51,2,1,3.8,1,1,18.0,0,low,1
40,F,tier2,graduate,salaried,medium,premium,661.32,45,biannual,1,credit_card,14,22.1,3,93.7,11,7,0.0,84,4,2,1,7526.87,1,2,4.4,1,0,39.0,0,high,1
24,M,tier1,graduate,student,medium,basic,309.34,23,annual,1,debit_card,7,13.0,1,26.0,10,9,7.0,143,1,3,2,3537.3,1,1,4.6,1,1,16.0,1,medium,1
37,M,tier2,postgraduate,homemaker,medium,standard,305.53,69,annual,1,credit_card,14,17.9,10,96.0,6,5,2.0,139,0,4,2,3362.48,3,1,2.3,1,1,13.0,0,medium,0
53,M,tier2,postgraduate,self_employed,medium,premium,708.18,56,annual,0,upi,21,8.1,15,56.9,11,9,1.0,150,5,4,2,7935.92,2,1,4.1,0,1,24.0,0,high,1
19,F,tier2,graduate,self_employed,medium,basic,259.29,58,biannual,1,credit_card,12,36.5,13,90.6,6,5,3.0,132,0,4,2,2885.17,2,0,3.2,1,0,5.0,1,medium,1
58,F,tier1,graduate,homemaker,low,basic,376.8,71,monthly,0,credit_card,11,19.0,11,69.6,8,5,5.0,167,6,3,3,3635.24,4,2,3.2,1,1,6.0,0,low,1
46,F,tier2,graduate,retired,low,standard,303.09,29,annual,0,upi,17,11.9,13,96.3,7,6,1.0,176,1,2,1,2922.97,4,1,2.9,1,1,18.0,0,low,1
58,F,tier1,graduate,salaried,low,basic,273.6,36,monthly,1,net_banking,13,,17,11.2,1,0,0.0,40,5,2,0,2855.64,2,2,3.4,0,1,9.0,0,medium,0
46,M,tier1,graduate,salaried,,standard,475.21,43,annual,1,debit_card,10,25.8,7,14.1,6,4,9.0,149,5,4,1,5673.88,4,0,3.8,1,1,22.0,0,low,1
66,M,tier1,postgraduate,salaried,high,premium,523.22,14,monthly,0,debit_card,13,15.1,7,33.0,5,4,8.0,141,1,3,2,6021.12,2,1,3.5,1,0,36.0,1,high,1
40,F,tier3,postgraduate,salaried,low,basic,366.72,52,monthly,0,net_banking,10,15.2,2,48.1,3,2,0.0,137,0,5,1,3967.21,0,1,3.7,0,1,17.0,0,low,1
19,F,tier3,school,salaried,high,basic,387.61,22,monthly,1,net_banking,12,,18,4.9,1,0,8.0,161,3,1,1,3901.51,0,2,4.0,1,1,15.0,0,low,0
48,M,tier3,postgraduate,student,medium,standard,359.35,51,biannual,1,credit_card,6,16.1,5,33.2,8,7,2.0,60,6,0,1,3667.43,0,0,2.8,1,1,18.0,0,low,1
66,M,tier2,postgraduate,salaried,high,standard,353.75,17,biannual,1,credit_card,16,19.0,5,32.7,3,2,2.0,4,7,2,1,3726.54,4,2,1.3,1,1,35.0,1,low,0
70,F,tier1,school,self_employed,low,premium,719.56,45,annual,1,net_banking,12,13.0,12,40.7,9,6,0.0,40,2,0,2,7115.35,3,2,4.0,1,0,27.0,0,medium,0
39,F,tier1,postgraduate,self_employed,medium,premium,599.78,13,annual,0,debit_card,6,26.0,2,73.0,11,9,0.0,140,0,0,1,6352.24,1,0,2.9,1,1,42.0,0,medium,1
68,M,tier1,graduate,salaried,low,standard,503.05,30,biannual,0,debit_card,18,14.1,8,44.6,3,2,8.0,73,0,5,0,5921.33,3,2,3.7,1,1,35.0,0,low,1
53,M,tier1,graduate,salaried,high,basic,295.76,55,monthly,1,credit_card,13,13.6,19,32.3,3,2,7.0,30,5,3,1,3409.76,1,0,1.6,1,1,23.0,0,low,0
28,M,tier3,postgraduate,self_employed,high,standard,325.43,38,biannual,0,wallet,15,22.8,18,95.6,4,3,1.0,73,4,1,2,3440.89,2,2,2.7,1,1,40.0,0,medium,1
38,M,tier2,graduate,salaried,very_high,basic,341.45,68,biannual,1,credit_card,7,24.6,19,97.9,6,4,3.0,147,2,3,2,3342.99,2,2,4.9,0,1,21.0,0,low,1
24,F,tier1,postgraduate,student,medium,standard,292.32,1,annual,1,net_banking,14,12.9,13,79.3,9,8,3.0,29,5,3,3,271.93,2,2,3.3,1,1,18.0,1,high,1
46,M,tier1,graduate,salaried,very_high,premium,526.97,18,biannual,1,upi,12,32.2,4,18.2,2,1,8.0,73,7,1,2,5276.14,0,0,3.4,1,0,16.0,0,low,1
25,F,tier2,graduate,salaried,low,premium,619.06,67,annual,1,debit_card,8,23.3,17,3.7,5,3,6.0,36,3,4,0,7135.09,2,0,4.8,0,1,33.0,1,low,1
21,F,tier3,graduate,homemaker,low,basic,368.1,13,monthly,0,credit_card,10,22.2,9,67.9,4,3,1.0,81,6,5,0,3535.12,0,1,,1,1,18.0,0,medium,1
60,F,tier3,postgraduate,student,high,premium,411.92,32,monthly,1,debit_card,13,3.3,16,8.5,3,2,0.0,155,7,3,3,4261.57,4,1,5.0,1,1,34.0,0,medium,0
63,F,tier2,postgraduate,homemaker,very_high,premium,662.02,68,biannual,1,upi,11,29.7,16,17.0,5,3,0.0,95,3,4,1,7204.83,2,1,3.4,1,0,37.0,0,low,1
22,F,tier2,school,student,very_high,standard,455.19,11,monthly,1,debit_card,10,13.3,10,22.7,10,8,7.0,88,3,3,0,4619.7,0,1,5.0,1,1,1.0,0,medium,1
53,F,tier1,graduate,salaried,,basic,375.11,42,annual,0,wallet,14,23.9,9,49.6,2,1,10.0,88,1,0,1,4500.97,3,0,3.5,1,1,3.0,0,high,0
46,M,tier1,postgraduate,self_employed,high,premium,569.84,67,monthly,1,credit_card,11,26.7,2,29.3,4,3,0.0,6,2,2,0,6415.88,0,2,5.0,1,0,33.0,0,medium,0
36,M,tier2,graduate,student,high,standard,544.64,30,monthly,0,debit_card,11,35.2,5,84.7,0,0,1.0,160,6,2,1,6020.27,1,0,2.7,1,1,13.0,0,high,1
41,M,tier1,graduate,retired,medium,standard,313.06,47,monthly,1,credit_card,8,1.0,10,87.6,0,0,2.0,10,2,5,3,3009.03,2,2,3.4,1,1,18.0,0,medium,1
69,F,tier2,graduate,homemaker,high,premium,730.79,29,annual,0,debit_card,14,10.2,19,58.6,5,4,8.0,8,2,1,1,8419.77,0,1,4.3,1,1,43.0,1,medium,1
40,M,tier2,graduate,salaried,high,enterprise,1185.62,45,annual,0,wallet,9,8.2,3,10.0,11,10,7.0,27,2,1,0,11407.83,0,0,3.6,1,0,39.0,1,medium,1
25,F,tier1,graduate,salaried,medium,standard,483.48,20,annual,0,wallet,11,14.6,16,34.3,1,0,6.0,147,2,4,0,5435.58,0,0,3.7,1,1,12.0,1,medium,1
69,M,tier2,graduate,self_employed,very_high,standard,288.38,61,annual,0,credit_card,15,23.7,13,17.1,9,8,4.0,173,0,1,2,2882.7,1,1,5.0,1,0,13.0,1,low,0
20,M,tier1,postgraduate,salaried,medium,basic,380.71,3,monthly,1,credit_card,13,23.3,16,76.2,11,9,10.0,150,1,1,1,1004.19,2,1,3.5,1,1,39.0,0,low,1
54,M,tier1,graduate,student,low,basic,366.31,31,monthly,1,debit_card,8,13.2,17,99.0,2,1,6.0,84,7,1,2,3778.38,1,2,3.2,0,1,27.0,1,medium,1
47,F,tier1,school,student,low,standard,401.77,14,monthly,1,credit_card,13,23.1,1,89.3,10,7,8.0,134,0,2,1,3930.84,2,2,4.3,1,1,43.0,0,medium,1
48,F,tier1,graduate,salaried,medium,basic,236.44,12,annual,1,credit_card,11,33.9,13,36.7,5,4,1.0,41,2,4,3,2761.33,4,2,3.9,1,0,33.0,0,high,1
44,M,tier1,school,self_employed,low,basic,272.79,50,annual,1,credit_card,12,23.8,3,21.5,2,1,10.0,92,2,5,2,2641.98,3,1,2.8,0,0,13.0,0,medium,1
71,F,tier3,postgraduate,salaried,medium,standard,301.61,48,monthly,1,net_banking,16,,19,57.5,8,5,2.0,156,3,3,2,3547.31,3,0,3.5,1,0,26.0,0,medium,1
19,Other,tier3,school,homemaker,medium,basic,232.41,37,annual,1,wallet,13,16.3,19,80.2,0,0,5.0,135,2,0,2,2784.77,1,1,5.0,1,1,25.0,0,low,1
53,F,tier3,school,salaried,low,premium,784.59,47,biannual,1,net_banking,12,12.7,14,90.2,10,7,4.0,135,0,2,3,8510.2,1,2,3.0,0,0,38.0,0,low,1
58,M,tier2,postgraduate,self_employed,high,basic,387.69,6,annual,1,credit_card,13,16.8,5,48.7,0,0,4.0,113,2,4,2,2220.46,3,2,5.0,1,0,14.0,0,medium,1
27,F,tier1,school,salaried,low,basic,302.56,5,biannual,1,net_banking,10,10.5,19,45.5,6,5,5.0,27,3,2,2,1404.76,0,2,4.2,1,0,12.0,0,medium,1
32,F,tier1,graduate,self_employed,low,standard,479.69,31,biannual,0,net_banking,11,1.0,19,63.3,1,0,4.0,109,3,3,2,5531.22,1,0,4.7,0,0,21.0,1,low,1
38,M,tier1,postgraduate,self_employed,medium,basic,217.69,40,annual,0,credit_card,17,25.2,6,29.8,4,3,2.0,70,4,4,1,2099.0,0,1,4.3,1,1,5.0,0,medium,0
35,F,tier2,graduate,salaried,medium,premium,596.48,6,monthly,1,debit_card,15,18.0,18,39.8,11,9,1.0,131,6,5,1,3093.21,4,1,3.2,1,1,12.0,0,high,1
53,F,tier2,school,salaried,low,standard,387.21,59,monthly,1,wallet,9,17.4,13,41.9,4,3,7.0,88,3,4,3,3788.17,3,1,,1,1,10.0,0,high,1
26,F,tier3,school,salaried,medium,premium,437.16,60,monthly,0,upi,15,23.3,3,20.9,6,4,7.0,168,2,0,3,4644.03,2,2,3.0,0,0,26.0,1,low,1
69,M,tier1,graduate,salaried,high,standard,430.35,30,biannual,1,debit_card,12,24.7,14,58.6,4,3,3.0,153,2,2,2,4401.81,3,2,3.9,1,1,35.0,0,low,1
64,M,tier1,graduate,self_employed,medium,standard,384.38,12,annual,1,net_banking,7,31.7,9,34.1,3,2,10.0,153,2,5,2,4416.9,0,2,5.0,1,1,12.0,0,low,1
71,F,tier1,school,salaried,low,standard,369.47,66,annual,1,debit_card,9,32.1,4,76.8,5,3,2.0,44,4,5,2,3933.05,0,0,4.6,1,1,32.0,0,medium,1
18,M,tier3,school,salaried,low,premium,584.21,56,annual,0,credit_card,14,20.3,5,51.9,8,7,2.0,93,3,5,3,6202.8,3,0,3.4,1,0,44.0,1,high,1
50,F,tier3,graduate,self_employed,very_high,premium,597.79,40,monthly,1,credit_card,9,14.8,12,66.1,4,3,6.0,68,3,4,3,7041.43,1,2,4.0,1,0,6.0,1,medium,1
32,F,tier3,postgraduate,student,medium,basic,221.24,38,monthly,1,debit_card,8,16.7,9,7.1,2,1,3.0,58,7,1,1,2137.39,4,0,5.0,1,1,10.0,0,high,1
63,F,tier2,graduate,salaried,low,premium,589.79,47,biannual,0,debit_card,13,21.3,1,86.0,8,7,8.0,105,4,0,3,7052.8,4,2,3.7,1,0,3.0,1,high,0
24,M,tier2,graduate,salaried,medium,basic,315.92,44,biannual,0,debit_card,15,10.5,14,84.6,5,4,10.0,99,1,3,3,3625.0,0,0,4.8,1,0,27.0,0,high,1
66,M,tier2,graduate,salaried,medium,basic,247.68,22,monthly,1,debit_card,17,22.0,6,37.9,10,9,9.0,98,6,0,0,2964.57,2,2,2.5,1,0,32.0,0,low,1
31,F,tier2,graduate,salaried,very_high,standard,349.93,57,monthly,0,debit_card,15,7.9,4,52.0,1,0,8.0,77,0,0,1,3436.23,2,0,2.7,1,0,24.0,0,medium,0
46,F,tier2,graduate,self_employed,low,premium,771.12,64,annual,1,credit_card,11,,3,99.7,3,2,9.0,110,4,2,0,7533.22,3,1,4.1,1,0,29.0,0,high,1
67,F,tier3,school,student,medium,premium,623.77,26,annual,1,upi,18,16.3,1,31.6,11,9,9.0,89,2,1,0,6194.2,4,2,4.1,1,1,32.0,1,high,0
46,F,tier3,school,salaried,very_high,basic,369.37,2,monthly,1,wallet,11,12.9,12,43.8,5,4,10.0,1,7,3,1,601.65,2,1,3.9,1,1,14.0,1,medium,1
59,F,tier1,school,salaried,very_high,basic,273.76,64,annual,0,upi,13,26.3,18,99.4,4,3,2.0,156,2,4,1,3212.96,1,1,,1,0,,1,medium,1
60,F,tier1,graduate,self_employed,high,standard,530.16,5,monthly,0,upi,11,13.8,8,98.7,8,6,3.0,126,7,4,0,2483.95,1,2,4.1,1,0,17.0,0,medium,1
47,M,tier1,graduate,self_employed,very_high,standard,318.04,18,annual,0,credit_card,9,19.8,15,3.5,3,2,1.0,122,7,1,3,3225.41,2,2,4.1,1,1,13.0,0,high,1
24,F,tier1,graduate,homemaker,high,basic,342.53,66,annual,1,debit_card,12,20.3,2,38.4,5,3,1.0,5,1,0,1,3473.59,2,1,4.1,1,0,20.0,0,medium,1
32,F,tier3,graduate,retired,medium,standard,383.94,55,monthly,0,upi,7,11.1,13,77.2,8,7,7.0,82,7,4,2,4408.19,3,0,2.6,0,1,6.0,1,low,1
23,F,tier2,graduate,homemaker,medium,enterprise,1169.7,37,monthly,0,debit_card,14,7.9,13,96.8,5,3,5.0,6,1,3,1,12099.02,1,0,5.0,0,1,25.0,0,low,0
66,F,tier1,graduate,homemaker,high,enterprise,1056.98,52,biannual,1,debit_card,12,15.5,15,1.5,0,0,9.0,96,6,3,2,12181.55,3,0,4.6,1,1,18.0,0,medium,1
50,M,tier2,postgraduate,homemaker,low,basic,371.74,58,monthly,1,debit_card,16,20.2,4,22.3,4,3,5.0,138,7,1,0,4455.96,2,2,5.0,1,0,28.0,0,low,0
53,F,tier1,graduate,self_employed,medium,enterprise,962.41,6,biannual,1,net_banking,9,19.4,8,90.5,0,0,3.0,48,4,1,3,4821.85,0,0,4.3,1,1,14.0,1,high,1
58,F,tier1,school,salaried,high,basic,214.0,31,monthly,0,debit_card,5,19.2,19,80.8,5,3,10.0,93,0,1,2,2236.5,1,0,5.0,1,1,5.0,0,medium,1
55,M,tier2,graduate,self_employed,medium,premium,419.57,39,monthly,0,wallet,11,26.1,1,91.2,4,3,1.0,172,6,5,0,4623.87,3,0,4.8,1,1,23.0,0,high,1
69,M,tier3,postgraduate,salaried,very_high,standard,522.06,65,biannual,1,credit_card,9,19.0,3,14.0,9,7,6.0,43,2,1,0,6261.41,3,1,4.6,1,1,5.0,0,medium,1
35,F,tier1,graduate,salaried,low,basic,297.72,31,monthly,1,net_banking,13,21.0,15,79.5,7,6,9.0,109,7,2,1,3339.71,0,1,,0,0,24.0,0,medium,1
36,M,tier3,graduate,salaried,medium,premium,706.77,14,monthly,1,upi,15,9.6,3,4.6,6,4,5.0,126,7,2,2,8115.29,3,2,4.3,1,1,25.0,0,medium,1
57,F,tier1,graduate,self_employed,medium,basic,373.34,22,biannual,1,debit_card,14,25.9,8,52.1,7,6,5.0,103,3,5,3,3899.09,2,1,2.8,1,0,2.0,0,medium,1
42,F,tier3,graduate,self_employed,high,enterprise,852.08,49,annual,0,net_banking,11,17.5,16,44.9,10,7,5.0,26,3,0,2,9952.02,0,2,3.8,0,1,4.0,0,medium,0
71,M,tier1,graduate,salaried,very_high,standard,514.33,5,monthly,1,debit_card,8,25.5,10,4.8,4,3,5.0,142,4,2,3,2524.7,0,2,3.1,1,1,16.0,1,low,1
27,M,tier2,graduate,retired,medium,basic,319.93,52,monthly,1,upi,8,14.6,15,82.8,3,2,8.0,173,1,3,1,3472.33,0,2,5.0,1,1,6.0,0,medium,1
34,F,tier2,graduate,self_employed,,premium,408.27,67,annual,1,upi,18,17.4,15,61.1,10,9,5.0,145,0,2,2,4693.44,0,0,3.1,1,0,43.0,0,medium,0
36,F,tier1,school,student,low,standard,412.41,62,monthly,0,upi,15,1.0,13,0.6,5,3,8.0,94,7,5,1,3967.87,3,0,4.1,0,1,9.0,0,low,1
33,F,tier2,school,student,medium,standard,551.23,19,monthly,1,debit_card,15,19.6,19,72.5,4,2,2.0,54,5,5,1,6313.69,2,0,3.2,0,1,19.0,0,low,1
59,M,tier1,postgraduate,student,very_high,premium,493.29,70,monthly,1,net_banking,11,26.2,1,13.9,6,4,6.0,2,2,1,1,4958.33,0,2,2.5,1,0,23.0,0,low,1
64,M,tier2,graduate,retired,low,premium,584.3,27,biannual,0,credit_card,14,16.0,12,46.5,3,2,2.0,61,1,0,3,6509.22,0,2,4.1,0,0,28.0,1,low,1
32,M,tier1,graduate,self_employed,low,standard,370.62,52,monthly,1,debit_card,6,35.5,6,9.1,5,3,10.0,51,5,0,1,3893.09,3,1,4.3,1,1,21.0,1,high,0
24,Other,tier2,school,salaried,medium,premium,701.71,35,monthly,0,net_banking,9,13.1,19,12.4,5,4,4.0,74,4,4,1,7778.0,3,1,3.1,1,0,35.0,0,medium,1
63,M,tier2,school,salaried,high,standard,334.92,38,annual,0,net_banking,6,10.0,18,65.8,6,4,4.0,147,7,4,3,3556.09,1,2,3.9,1,1,44.0,0,medium,1
31,F,tier1,graduate,retired,medium,standard,553.33,59,biannual,1,debit_card,19,19.7,1,4.4,8,7,0.0,73,3,4,1,5350.34,0,0,3.4,1,0,22.0,0,low,0
28,M,tier3,graduate,self_employed,medium,enterprise,1058.12,61,monthly,1,upi,12,3.7,12,35.8,5,4,6.0,28,1,2,2,11384.77,4,1,2.3,1,1,,0,low,0
34,F,tier1,graduate,retired,low,premium,668.44,45,monthly,1,debit_card,12,12.3,1,4.9,11,8,0.0,155,1,3,3,7448.52,2,2,3.9,1,1,3.0,0,medium,1
63,M,tier3,postgraduate,salaried,medium,premium,798.65,52,annual,0,credit_card,18,25.5,13,97.4,9,8,10.0,132,0,0,2,8256.56,0,1,5.0,1,0,36.0,1,high,1
67,M,tier3,postgraduate,student,low,standard,311.05,25,biannual,1,upi,10,26.6,8,12.9,10,8,1.0,7,6,4,1,3726.04,3,2,3.7,1,0,5.0,0,medium,1
23,M,tier1,school,salaried,medium,premium,712.93,11,annual,1,debit_card,13,14.2,14,12.8,7,5,5.0,33,6,1,1,7582.96,2,1,4.0,1,1,19.0,0,medium,1
69,F,tier2,postgraduate,student,low,enterprise,924.69,34,monthly,1,net_banking,19,22.4,19,90.8,5,4,0.0,4,3,0,0,9897.93,2,1,2.6,1,1,28.0,1,high,0
62,F,tier2,graduate,self_employed,high,premium,774.77,20,annual,1,net_banking,10,15.0,13,75.1,7,5,10.0,103,6,1,2,7945.6,1,0,5.0,1,0,32.0,1,medium,1
64,F,tier2,graduate,student,very_high,standard,365.73,44,annual,1,wallet,6,5.6,6,7.5,0,0,6.0,175,1,4,3,4130.67,1,0,3.4,0,0,36.0,0,low,1
32,M,tier1,graduate,self_employed,medium,enterprise,1352.32,34,annual,1,wallet,13,19.5,17,65.1,1,0,8.0,63,7,0,0,14565.9,2,0,5.0,1,0,30.0,0,low,0
67,F,tier3,graduate,homemaker,high,basic,220.93,16,monthly,1,credit_card,14,2.8,16,76.1,2,1,7.0,132,6,0,1,2547.89,2,1,2.4,0,1,30.0,1,high,0
58,M,tier3,graduate,salaried,medium,standard,374.93,16,annual,1,upi,11,21.9,16,49.8,1,0,10.0,30,4,3,3,4138.75,4,0,3.7,1,0,26.0,1,medium,0
61,F,tier1,graduate,student,medium,premium,492.79,35,monthly,1,debit_card,13,37.2,12,94.7,4,3,9.0,47,5,3,1,4886.64,4,2,2.6,1,0,22.0,0,low,0
64,F,tier1,graduate,homemaker,low,standard,344.27,2,annual,0,upi,11,30.7,18,32.5,11,10,7.0,125,1,5,1,648.72,2,1,3.4,0,0,28.0,0,medium,1
42,F,tier1,school,self_employed,medium,standard,281.86,55,monthly,1,debit_card,8,8.2,13,54.1,2,1,10.0,34,6,3,1,3225.26,3,1,1.0,0,1,4.0,0,medium,1
28,M,tier2,graduate,student,high,standard,450.87,27,monthly,1,debit_card,14,14.3,19,24.0,10,7,3.0,69,3,5,2,4647.25,4,2,4.1,1,1,44.0,1,low,1
